"Protocol","Time","d_time","Length","Source","Destination","dst_port"
"802.11","11.715867","0.000000","41","LGElectr_d3:1f:2d","Shenzhen_2c:52:5f",""
"802.11","11.720458","0.004591","30","Shenzhen_2c:52:5f","LGElectr_d3:1f:2d",""
"802.11","11.721504","0.001046","105","LGElectr_d3:1f:2d","Shenzhen_2c:52:5f",""
"EAPOL","11.760930","0.039426","153","LGElectr_d3:1f:2d","Shenzhen_2c:52:5f",""
"802.11","11.761437","0.000507","24","LGElectr_d3:1f:2d","Shenzhen_2c:52:5f",""
"EAPOL","11.775780","0.014343","131","LGElectr_d3:1f:2d","Shenzhen_2c:52:5f",""
"802.11","11.788576","0.012796","24","LGElectr_d3:1f:2d","Shenzhen_2c:52:5f",""
"802.11","11.861793","0.073217","24","LGElectr_d3:1f:2d","Shenzhen_2c:52:5f",""
"802.11","11.926818","0.065025","24","LGElectr_d3:1f:2d","Shenzhen_2c:52:5f",""
"802.11","11.964194","0.037376","24","LGElectr_d3:1f:2d","Shenzhen_2c:52:5f",""
"802.11","12.145955","0.181761","24","LGElectr_d3:1f:2d","Shenzhen_2c:52:5f",""
"802.11","12.158244","0.012289","24","LGElectr_d3:1f:2d","Shenzhen_2c:52:5f",""
"802.11","12.169507","0.011263","24","LGElectr_d3:1f:2d","Shenzhen_2c:52:5f",""
"802.11","12.271458","0.101951","24","LGElectr_d3:1f:2d","Shenzhen_2c:52:5f",""
"802.11","12.375393","0.103935","24","LGElectr_d3:1f:2d","Shenzhen_2c:52:5f",""
"802.11","12.476261","0.100868","24","LGElectr_d3:1f:2d","Shenzhen_2c:52:5f",""
"802.11","12.578660","0.102399","24","LGElectr_d3:1f:2d","Shenzhen_2c:52:5f",""
"802.11","12.681056","0.102396","24","LGElectr_d3:1f:2d","Shenzhen_2c:52:5f",""
"802.11","12.783974","0.102918","24","LGElectr_d3:1f:2d","Shenzhen_2c:52:5f",""
"802.11","12.885856","0.101882","136","LGElectr_d3:1f:2d","Shenzhen_2c:52:5f",""
"802.11","12.885856","0.000000","24","LGElectr_d3:1f:2d","Shenzhen_2c:52:5f",""
"802.11","12.989790","0.103934","24","LGElectr_d3:1f:2d","Shenzhen_2c:52:5f",""
"802.11","13.091167","0.101377","24","LGElectr_d3:1f:2d","Shenzhen_2c:52:5f",""
"802.11","13.172578","0.081411","123","LGElectr_d3:1f:2d","Shenzhen_2c:52:5f",""
"802.11","13.194082","0.021504","24","LGElectr_d3:1f:2d","Shenzhen_2c:52:5f",""
"802.11","13.296033","0.101951","24","LGElectr_d3:1f:2d","Shenzhen_2c:52:5f",""
"802.11","13.399974","0.103941","24","LGElectr_d3:1f:2d","Shenzhen_2c:52:5f",""
"802.11","13.500320","0.100346","24","LGElectr_d3:1f:2d","Shenzhen_2c:52:5f",""
"802.11","13.602722","0.102402","24","LGElectr_d3:1f:2d","Shenzhen_2c:52:5f",""
"802.11","13.705119","0.102397","24","LGElectr_d3:1f:2d","Shenzhen_2c:52:5f",""
"802.11","13.812128","0.107009","24","LGElectr_d3:1f:2d","Shenzhen_2c:52:5f",""
"802.11","13.909918","0.097790","24","LGElectr_d3:1f:2d","Shenzhen_2c:52:5f",""
"802.11","14.012320","0.102402","24","LGElectr_d3:1f:2d","Shenzhen_2c:52:5f",""
"802.11","14.114717","0.102397","24","LGElectr_d3:1f:2d","Shenzhen_2c:52:5f",""
"802.11","14.217123","0.102406","24","LGElectr_d3:1f:2d","Shenzhen_2c:52:5f",""
"802.11","14.319583","0.102460","24","LGElectr_d3:1f:2d","Shenzhen_2c:52:5f",""
"802.11","14.421981","0.102398","24","LGElectr_d3:1f:2d","Shenzhen_2c:52:5f",""
"802.11","14.524381","0.102400","24","LGElectr_d3:1f:2d","Shenzhen_2c:52:5f",""
"802.11","14.626782","0.102401","24","LGElectr_d3:1f:2d","Shenzhen_2c:52:5f",""
"802.11","14.735320","0.108538","24","LGElectr_d3:1f:2d","Shenzhen_2c:52:5f",""
"802.11","14.831578","0.096258","24","LGElectr_d3:1f:2d","Shenzhen_2c:52:5f",""
"802.11","14.933469","0.101891","24","LGElectr_d3:1f:2d","Shenzhen_2c:52:5f",""
"802.11","15.037919","0.104450","24","LGElectr_d3:1f:2d","Shenzhen_2c:52:5f",""
"802.11","15.037919","0.000000","24","LGElectr_d3:1f:2d","Shenzhen_2c:52:5f",""
"802.11","15.040479","0.002560","24","LGElectr_d3:1f:2d","Shenzhen_2c:52:5f",""
"802.11","15.138776","0.098297","24","LGElectr_d3:1f:2d","Shenzhen_2c:52:5f",""
"802.11","15.241249","0.102473","24","LGElectr_d3:1f:2d","Shenzhen_2c:52:5f",""
"802.11","15.343649","0.102400","24","LGElectr_d3:1f:2d","Shenzhen_2c:52:5f",""
"802.11","15.445534","0.101885","24","LGElectr_d3:1f:2d","Shenzhen_2c:52:5f",""
"802.11","15.549982","0.104448","24","LGElectr_d3:1f:2d","Shenzhen_2c:52:5f",""
"802.11","15.652896","0.102914","24","LGElectr_d3:1f:2d","Shenzhen_2c:52:5f",""
"802.11","15.753246","0.100350","24","LGElectr_d3:1f:2d","Shenzhen_2c:52:5f",""
"802.11","15.855644","0.102398","24","LGElectr_d3:1f:2d","Shenzhen_2c:52:5f",""
"802.11","15.959073","0.103429","24","LGElectr_d3:1f:2d","Shenzhen_2c:52:5f",""
"802.11","16.060444","0.101371","24","LGElectr_d3:1f:2d","Shenzhen_2c:52:5f",""
"802.11","16.163357","0.102913","24","LGElectr_d3:1f:2d","Shenzhen_2c:52:5f",""
"802.11","16.266333","0.102976","24","LGElectr_d3:1f:2d","Shenzhen_2c:52:5f",""
"802.11","16.368733","0.102400","24","LGElectr_d3:1f:2d","Shenzhen_2c:52:5f",""
"802.11","16.572511","0.203778","24","LGElectr_d3:1f:2d","Shenzhen_2c:52:5f",""
"802.11","16.675426","0.102915","24","LGElectr_d3:1f:2d","Shenzhen_2c:52:5f",""
"802.11","16.776800","0.101374","24","LGElectr_d3:1f:2d","Shenzhen_2c:52:5f",""
"802.11","16.982111","0.205311","24","LGElectr_d3:1f:2d","Shenzhen_2c:52:5f",""
"802.11","17.084508","0.102397","24","LGElectr_d3:1f:2d","Shenzhen_2c:52:5f",""
"802.11","17.186907","0.102399","24","LGElectr_d3:1f:2d","Shenzhen_2c:52:5f",""
"802.11","17.289377","0.102470","24","LGElectr_d3:1f:2d","Shenzhen_2c:52:5f",""
"802.11","17.392287","0.102910","24","LGElectr_d3:1f:2d","Shenzhen_2c:52:5f",""
"802.11","17.494180","0.101893","24","LGElectr_d3:1f:2d","Shenzhen_2c:52:5f",""
"802.11","17.596578","0.102398","24","LGElectr_d3:1f:2d","Shenzhen_2c:52:5f",""
"802.11","17.699491","0.102913","24","LGElectr_d3:1f:2d","Shenzhen_2c:52:5f",""
"802.11","17.804958","0.105467","24","LGElectr_d3:1f:2d","Shenzhen_2c:52:5f",""
"802.11","17.880737","0.075779","136","LGElectr_d3:1f:2d","Shenzhen_2c:52:5f",""
"802.11","17.903265","0.022528","24","LGElectr_d3:1f:2d","Shenzhen_2c:52:5f",""
"802.11","18.005663","0.102398","24","LGElectr_d3:1f:2d","Shenzhen_2c:52:5f",""
