"Protocol","Time","d_time","Length","Source","Destination","dst_port"
"802.11","15.281191","0.000000","291","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","15.691289","0.410098","30","SENAONet_3a:1e:fd","8a:dc:96:3a:1f:6c",""
"802.11","15.691821","0.000532","30","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","15.691795","-0.000026","130","SENAONet_3a:1e:fd","8a:dc:96:3a:1f:6c",""
"802.11","15.691821","0.000026","134","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"EAPOL","15.691821","0.000000","133","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"EAPOL","15.691795","-0.000026","155","SENAONet_3a:1e:fd","8a:dc:96:3a:1f:6c",""
"EAPOL","15.691821","0.000026","213","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"EAPOL","15.691793","-0.000028","133","SENAONet_3a:1e:fd","8a:dc:96:3a:1f:6c",""
"802.11","15.691825","0.000032","27","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","16.198272","0.506447","378","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","16.402003","0.203731","33","SENAONet_3a:1e:fd","8a:dc:96:3a:1f:6c",""
"802.11","16.502381","0.100378","33","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","20.815740","4.313359","78","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","20.815731","-0.000009","33","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","20.815703","-0.000028","33","SENAONet_3a:1e:fd","8a:dc:96:3a:1f:6c",""
"802.11","26.166487","5.350784","30","SENAONet_3a:1e:fd","8a:dc:96:3a:1f:6c",""
"802.11","26.671845","0.505358","146","SENAONet_3a:1e:fd","8a:dc:96:3a:1f:6c",""
"802.11","26.671866","0.000021","146","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","26.671853","-0.000013","33","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","26.671833","-0.000020","33","SENAONet_3a:1e:fd","8a:dc:96:3a:1f:6c",""
"802.11","26.856676","0.184843","1421","SENAONet_3a:1e:fd","8a:dc:96:3a:1f:6c",""
"802.11","26.857210","0.000534","626","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","26.862297","0.005087","33","SENAONet_3a:1e:fd","8a:dc:96:3a:1f:6c",""
"802.11","26.864879","0.002582","33","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","26.864868","-0.000011","1341","SENAONet_3a:1e:fd","8a:dc:96:3a:1f:6c",""
"802.11","26.868984","0.004116","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","26.868964","-0.000020","1391","SENAONet_3a:1e:fd","8a:dc:96:3a:1f:6c",""
"802.11","26.868985","0.000021","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","26.869496","0.000511","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","26.869496","0.000000","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","26.869475","-0.000021","1025","SENAONet_3a:1e:fd","8a:dc:96:3a:1f:6c",""
"802.11","26.870008","0.000533","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","26.870008","0.000000","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","26.870520","0.000512","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","26.880760","0.010240","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","26.899703","0.018943","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","26.907364","0.007661","728","SENAONet_3a:1e:fd","8a:dc:96:3a:1f:6c",""
"802.11","26.919671","0.012307","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","26.939639","0.019968","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","26.959095","0.019456","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","26.980087","0.020992","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","27.084599","0.104512","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","27.286839","0.202240","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","27.488054","0.201215","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","27.690806","0.202752","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","27.893558","0.202752","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","27.912501","0.018943","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","27.912484","-0.000017","728","SENAONet_3a:1e:fd","8a:dc:96:3a:1f:6c",""
"802.11","27.912502","0.000018","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
