"Protocol","Time","d_time","Length","Source","Destination","dst_port"
"802.11","15.025042","0.000000","291","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","15.987174","0.962132","30","SENAONet_3a:1e:fd","8a:dc:96:3a:1f:6c",""
"802.11","15.987714","0.000540","30","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","15.987686","-0.000028","130","SENAONet_3a:1e:fd","8a:dc:96:3a:1f:6c",""
"802.11","15.987712","0.000026","134","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"EAPOL","15.987714","0.000002","133","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"EAPOL","15.987686","-0.000028","155","SENAONet_3a:1e:fd","8a:dc:96:3a:1f:6c",""
"EAPOL","15.988224","0.000538","213","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"EAPOL","15.988198","-0.000026","133","SENAONet_3a:1e:fd","8a:dc:96:3a:1f:6c",""
"802.11","15.988224","0.000026","27","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","15.988237","0.000013","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","15.988238","0.000001","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","15.988749","0.000511","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","15.988750","0.000001","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","15.988750","0.000000","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","15.989261","0.000511","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","15.989262","0.000001","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","15.989262","0.000000","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","15.989261","-0.000001","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","15.989262","0.000001","378","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","15.989261","-0.000001","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","15.989774","0.000513","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","15.989774","0.000000","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","15.989773","-0.000001","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","15.989773","0.000000","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","15.989773","0.000000","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","15.989773","0.000000","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","15.990285","0.000512","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","15.990285","0.000000","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","15.990285","0.000000","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","15.990285","0.000000","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","15.990285","0.000000","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","15.990797","0.000512","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","15.990797","0.000000","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","15.990797","0.000000","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","15.990797","0.000000","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","15.990797","0.000000","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","15.990797","0.000000","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","15.991310","0.000513","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","15.991309","-0.000001","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","15.991309","0.000000","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","15.991309","0.000000","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","16.115789","0.124480","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","16.318541","0.202752","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","16.520780","0.202239","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","16.623181","0.102401","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","16.623181","0.000000","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","16.623180","-0.000001","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","16.623180","0.000000","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","16.623180","0.000000","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","16.623692","0.000512","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","16.623692","0.000000","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","16.623693","0.000001","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","16.623693","0.000000","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","16.623693","0.000000","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","16.624204","0.000511","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","16.624204","0.000000","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","16.624204","0.000000","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","16.624204","0.000000","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","16.624716","0.000512","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","16.624716","0.000000","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","16.624716","0.000000","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","16.625228","0.000512","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","16.625228","0.000000","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","16.625228","0.000000","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","16.625228","0.000000","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","16.826444","0.201216","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","16.918093","0.091649","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","16.922188","0.004095","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","16.924748","0.002560","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","16.925772","0.001024","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","16.925773","0.000001","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","16.925773","0.000000","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","16.926284","0.000511","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","16.926284","0.000000","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","16.926285","0.000001","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","16.926284","-0.000001","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","16.926796","0.000512","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","16.926796","0.000000","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","16.926766","-0.000030","132","SENAONet_3a:1e:fd","8a:dc:96:3a:1f:6c",""
"802.11","16.927309","0.000543","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
