"Protocol","Time","d_time","Length","Source","src_port","Destination","dst_port"
"802.11","9.198262","0.000000","239","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","9.211039","0.012777","239","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","14.570457","5.359418","239","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","14.576627","0.006170","239","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","17.489564","2.912937","239","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","17.500344","0.010780","239","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","20.645219","3.144875","30","IntelCor_ce:f2:0c","","IntelCor_d3:04:e1",""
"802.11","20.645239","0.000020","30","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","20.645218","-0.000021","162","IntelCor_ce:f2:0c","","IntelCor_d3:04:e1",""
"EAPOL","20.655964","0.010746","131","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"EAPOL","20.658528","0.002564","155","IntelCor_ce:f2:0c","","IntelCor_d3:04:e1",""
"EAPOL","20.662107","0.003579","235","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"EAPOL","20.666721","0.004614","131","IntelCor_ce:f2:0c","","IntelCor_d3:04:e1",""
"802.11","20.741484","0.074763","26","IntelCor_ce:f2:0c","","IntelCor_d3:04:e1",""
"802.11","20.749163","0.007679","26","IntelCor_ce:f2:0c","","IntelCor_d3:04:e1",""
"802.11","20.773212","0.024049","376","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","20.830073","0.056861","388","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","20.911964","0.081891","121","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","20.980057","0.068093","76","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","20.990297","0.010240","76","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","21.004132","0.013835","100","IntelCor_ce:f2:0c","","IntelCor_d3:04:e1",""
"802.11","21.030245","0.026113","121","IntelCor_ce:f2:0c","","IntelCor_d3:04:e1",""
"802.11","21.030756","0.000511","121","IntelCor_ce:f2:0c","","IntelCor_d3:04:e1",""
"802.11","21.030746","-0.000010","121","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","21.283749","0.253003","117","IntelCor_ce:f2:0c","","IntelCor_d3:04:e1",""
"802.11","21.285287","0.001538","117","IntelCor_ce:f2:0c","","IntelCor_d3:04:e1",""
"802.11","21.287321","0.002034","117","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","21.291417","0.004096","117","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","21.513636","0.222219","121","IntelCor_ce:f2:0c","","IntelCor_d3:04:e1",""
"802.11","21.513637","0.000001","121","IntelCor_ce:f2:0c","","IntelCor_d3:04:e1",""
"802.11","21.513626","-0.000011","121","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","21.518263","0.004637","121","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","21.520293","0.002030","121","IntelCor_ce:f2:0c","","IntelCor_d3:04:e1",""
"802.11","21.530039","0.009746","121","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","21.542820","0.012781","117","IntelCor_ce:f2:0c","","IntelCor_d3:04:e1",""
"802.11","21.544357","0.001537","117","IntelCor_ce:f2:0c","","IntelCor_d3:04:e1",""
"802.11","21.550488","0.006131","117","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","21.708711","0.158223","109","IntelCor_ce:f2:0c","","IntelCor_d3:04:e1",""
"802.11","21.710758","0.002047","109","IntelCor_ce:f2:0c","","IntelCor_d3:04:e1",""
"802.11","21.710774","0.000016","109","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","21.710744","-0.000030","109","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","21.712822","0.002078","109","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","21.713830","0.001008","109","IntelCor_ce:f2:0c","","IntelCor_d3:04:e1",""
"802.11","21.713820","-0.000010","109","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","21.716390","0.002570","109","IntelCor_ce:f2:0c","","IntelCor_d3:04:e1",""
"802.11","21.721526","0.005136","109","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","21.731253","0.009727","109","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","21.763493","0.032240","109","IntelCor_ce:f2:0c","","IntelCor_d3:04:e1",""
