"Protocol","Time","d_time","Length","Source","src_port","Destination","dst_port"
"802.11","0.000529","0.000000","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","0.000527","-0.000002","150","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","0.000527","0.000000","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","0.001039","0.000512","120","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","0.001040","0.000001","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","0.001039","-0.000001","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","0.001039","0.000000","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","0.001039","0.000000","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","0.001040","0.000001","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","0.001041","0.000001","149","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","0.001040","-0.000001","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","0.001040","0.000000","120","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","0.001040","0.000000","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","0.001041","0.000001","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","0.001042","0.000001","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","0.001042","0.000000","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","0.001041","-0.000001","150","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","0.001553","0.000512","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","0.001554","0.000001","120","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","0.001554","0.000000","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","0.001553","-0.000001","120","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","0.001554","0.000001","101","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
