"Protocol","Time","d_time","Length","Source","Destination","dst_port"
"802.11","13.804924","0.000000","291","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","13.805930","0.001006","30","SENAONet_3a:1e:fd","8a:dc:96:3a:1f:6c",""
"802.11","13.806460","0.000530","30","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","13.806442","-0.000018","130","SENAONet_3a:1e:fd","8a:dc:96:3a:1f:6c",""
"802.11","13.806460","0.000018","134","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"EAPOL","13.806460","0.000000","133","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"EAPOL","13.806440","-0.000020","155","SENAONet_3a:1e:fd","8a:dc:96:3a:1f:6c",""
"EAPOL","13.806460","0.000020","213","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"EAPOL","13.806440","-0.000020","133","SENAONet_3a:1e:fd","8a:dc:96:3a:1f:6c",""
"802.11","13.806460","0.000020","27","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","14.130567","0.324107","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","14.130567","0.000000","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","14.130567","0.000000","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","14.130567","0.000000","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","14.131070","0.000503","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","14.131068","-0.000002","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","14.131068","0.000000","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","14.131068","0.000000","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","14.131068","0.000000","378","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","14.131068","0.000000","378","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","14.131079","0.000011","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","14.131079","0.000000","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","14.131080","0.000001","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","14.131591","0.000511","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","14.131592","0.000001","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","14.131592","0.000000","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","14.131591","-0.000001","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","14.131591","0.000000","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","14.131591","0.000000","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","14.131591","0.000000","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","14.131591","0.000000","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
"802.11","14.131591","0.000000","104","8a:dc:96:3a:1f:6c","SENAONet_3a:1e:fd",""
