"Protocol","Time","d_time","Length","Source","src_port","Destination","dst_port"
"802.11","6.132623","-0.000001","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.135206","0.002583","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.136744","0.001538","150","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.137232","0.000488","120","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.137232","0.000000","130","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.138280","0.001048","130","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.139792","0.001512","100","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.140816","0.001024","120","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.143888","0.003072","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.143912","0.000024","91","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.143913","0.000001","120","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.144937","0.001024","101","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.144936","-0.000001","128","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.145960","0.001024","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.145960","0.000000","120","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.148008","0.002048","105","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.148007","-0.000001","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.148008","0.000001","150","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.150031","0.002023","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.150032","0.000001","120","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.150032","0.000000","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.150544","0.000512","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.150543","-0.000001","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.152080","0.001537","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.152080","0.000000","113","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.152079","-0.000001","150","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.152591","0.000512","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.152592","0.000001","120","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.153616","0.001024","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.153616","0.000000","117","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.157711","0.004095","130","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.159760","0.002049","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.163345","0.003585","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.163343","-0.000002","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.165393","0.002050","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.165391","-0.000002","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.167440","0.002049","149","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.167440","0.000000","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.167440","0.000000","120","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.183313","0.015873","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.185872","0.002559","119","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.191014","0.005142","124","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.202769","0.011755","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.202770","0.000001","120","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.202769","-0.000001","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.202769","0.000000","120","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","6.202770","0.000001","101","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
