"Protocol","Time","d_time","Length","Source","src_port","Destination","dst_port"
"802.11","1.392184","0.000000","239","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","4.898123","3.505939","239","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","4.934994","0.036871","30","IntelCor_ce:f2:0c","","IntelCor_d3:04:e1",""
"802.11","4.934971","-0.000023","30","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","4.934996","0.000025","162","IntelCor_ce:f2:0c","","IntelCor_d3:04:e1",""
"802.11","4.944173","0.009177","56","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"EAPOL","4.948796","0.004623","131","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"EAPOL","4.952400","0.003604","155","IntelCor_ce:f2:0c","","IntelCor_d3:04:e1",""
"EAPOL","4.955962","0.003562","235","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"EAPOL","4.959057","0.003095","131","IntelCor_ce:f2:0c","","IntelCor_d3:04:e1",""
"802.11","4.961082","0.002025","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","4.964154","0.003072","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","4.965690","0.001536","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","4.971835","0.006145","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","4.979515","0.007680","76","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","4.982075","0.002560","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","4.984635","0.002560","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","4.987195","0.002560","150","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","4.988219","0.001024","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","4.988219","0.000000","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","4.990779","0.002560","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","4.992314","0.001535","130","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","4.994363","0.002049","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","4.998971","0.004608","150","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.000507","0.001536","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.002555","0.002048","120","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.002555","0.000000","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.004092","0.001537","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.007674","0.003582","76","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.009721","0.002047","388","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.032250","0.022529","150","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.034315","0.002065","150","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.034299","-0.000016","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.034316","0.000017","120","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.034325","0.000009","26","IntelCor_ce:f2:0c","","IntelCor_d3:04:e1",""
"802.11","5.042509","0.008184","26","IntelCor_ce:f2:0c","","IntelCor_d3:04:e1",""
"802.11","5.045582","0.003073","97","IntelCor_ce:f2:0c","","IntelCor_d3:04:e1",""
"802.11","5.046094","0.000512","105","IntelCor_ce:f2:0c","","IntelCor_d3:04:e1",""
"802.11","5.046606","0.000512","105","IntelCor_ce:f2:0c","","IntelCor_d3:04:e1",""
"802.11","5.047630","0.001024","118","IntelCor_ce:f2:0c","","IntelCor_d3:04:e1",""
"802.11","5.047630","0.000000","119","IntelCor_ce:f2:0c","","IntelCor_d3:04:e1",""
"802.11","5.062459","0.014829","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.066555","0.004096","102","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.076282","0.009727","91","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.076282","0.000000","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.077820","0.001538","120","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.077819","-0.000001","130","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.077819","0.000000","120","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.079886","0.002067","113","IntelCor_ce:f2:0c","","IntelCor_d3:04:e1",""
"802.11","5.079885","-0.000001","105","IntelCor_ce:f2:0c","","IntelCor_d3:04:e1",""
"802.11","5.079886","0.000001","118","IntelCor_ce:f2:0c","","IntelCor_d3:04:e1",""
"802.11","5.081934","0.002048","105","IntelCor_ce:f2:0c","","IntelCor_d3:04:e1",""
"802.11","5.081915","-0.000019","105","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.083962","0.002047","105","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.086030","0.002068","117","IntelCor_ce:f2:0c","","IntelCor_d3:04:e1",""
"802.11","5.086030","0.000000","119","IntelCor_ce:f2:0c","","IntelCor_d3:04:e1",""
"802.11","5.088059","0.002029","105","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.088059","0.000000","118","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.089593","0.001534","119","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.089595","0.000002","150","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.091643","0.002048","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.091643","0.000000","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.093691","0.002048","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.093691","0.000000","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.093691","0.000000","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.095738","0.002047","150","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.096250","0.000512","120","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.097786","0.001536","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.097788","0.000002","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.101369","0.003581","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.103418","0.002049","113","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.105467","0.002049","105","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.105466","-0.000001","118","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.107513","0.002047","105","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.107514","0.000001","149","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.109050","0.001536","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.109050","0.000000","120","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.111097","0.002047","130","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.111099","0.000002","108","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.111099","0.000000","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.113147","0.002048","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.113147","0.000000","117","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.115209","0.002062","117","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.117243","0.002034","119","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.117257","0.000014","119","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.121850","0.004593","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.125966","0.004116","117","IntelCor_ce:f2:0c","","IntelCor_d3:04:e1",""
"802.11","5.125969","0.000003","118","IntelCor_ce:f2:0c","","IntelCor_d3:04:e1",""
"802.11","5.128017","0.002048","105","IntelCor_ce:f2:0c","","IntelCor_d3:04:e1",""
"802.11","5.128017","0.000000","119","IntelCor_ce:f2:0c","","IntelCor_d3:04:e1",""
"802.11","5.128018","0.000001","113","IntelCor_ce:f2:0c","","IntelCor_d3:04:e1",""
"802.11","5.129530","0.001512","150","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.131594","0.002064","150","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.131578","-0.000016","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.137739","0.006161","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.137722","-0.000017","120","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.137739","0.000017","120","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.139274","0.001535","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.139258","-0.000016","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.141307","0.002049","99","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.141307","0.000000","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.141322","0.000015","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.143370","0.002048","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.143370","0.000000","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.145418","0.002048","117","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.145417","-0.000001","118","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.145418","0.000001","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.147465","0.002047","105","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.147465","0.000000","119","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.147465","0.000000","113","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.149514","0.002049","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.149513","-0.000001","102","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.151049","0.001536","128","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.151568","0.000519","118","IntelCor_ce:f2:0c","","IntelCor_d3:04:e1",""
"802.11","5.153096","0.001528","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.153096","0.000000","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.153106","0.000010","119","IntelCor_ce:f2:0c","","IntelCor_d3:04:e1",""
"802.11","5.155145","0.002039","100","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.155146","0.000001","120","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.157195","0.002049","91","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.157195","0.000000","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.157194","-0.000001","120","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.159243","0.002049","130","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.159244","0.000001","116","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
"802.11","5.161809","0.002565","113","IntelCor_ce:f2:0c","","IntelCor_d3:04:e1",""
"802.11","5.161802","-0.000007","120","IntelCor_d3:04:e1","","IntelCor_ce:f2:0c",""
